year,month,unit,name,cause,acres,county,longitude,latitude
1898,9,Ventura County,LOS PADRES,14 - Unknown / Unidentified,20539.94921875,Ventura County,-119.3678298818286,34.44682971265355
1898,4,Ventura County,MATILIJA,14 - Unknown / Unidentified,2641.123046875,Ventura County,-119.2996250808424,34.48861372034608
1898,9,Ventura County,COZY DELL,14 - Unknown / Unidentified,2974.585205078125,Ventura County,-119.26538034343707,34.482315773004586
1902,8,Ventura County,FEROUD,14 - Unknown / Unidentified,731.4815673828125,Ventura County,-119.32097892126518,34.417514825132955
1903,10,Ventura County,SAN ANTONIO,14 - Unknown / Unidentified,380.2605895996094,Ventura County,-119.25342191187723,34.43061569116066
1908,7,Ventura County,REEVES,14 - Unknown / Unidentified,859.3488159179688,Ventura County,-119.17995868645784,34.445871922059354
1908,9,Humboldt - Del Norte CAL FIRE,LUFFENHOLZ,14 - Unknown / Unidentified,7433.90185546875,Humboldt County,-124.08212020270376,41.00019738365556
1909,5,Six Rivers National Forest,N/A,14 - Unknown / Unidentified,59.73896789550781,Del Norte County,-124.0527399063855,41.80451045652106
1909,8,Los Angeles County,SHOEMAKER,14 - Unknown / Unidentified,450.53472900390625,Los Angeles County,-117.68581580395406,34.344270965991534
1909,9,Ventura County,HORN CANYON,14 - Unknown / Unidentified,3174.5146484375,Ventura County,-119.1585176479871,34.48261610909139
1909,7,Six Rivers National Forest,N/A,14 - Unknown / Unidentified,4.978549957275391,Del Norte County,-123.817779446182,41.816437614584245
1910,8,Six Rivers National Forest,CRAWFORD CREEK 2,7 - Arson,497.88507080078125,Humboldt County,-123.55247056980949,41.30005212855447
1910,7,Six Rivers National Forest,BLUFF CREEK,4 - Campfire,298.716552734375,Del Norte County,-123.76036110909068,41.43039064249448
1910,7,Modoc National Forest,GLASS MOUNTAIN,1 - Lightning,146967.5625,Siskiyou County,-121.49447568995093,41.345245169114314
1910,9,Six Rivers National Forest,ULLATHORNE 2,4 - Campfire,79.66117858886719,Humboldt County,-123.57490531624327,41.30372990521792
1910,8,Modoc National Forest,HAT MT.,9 - Miscellaneous,347.3707275390625,Lassen County,-120.12749278893328,41.13101105052728
1910,7,Modoc National Forest,SOUP,1 - Lightning,19.396240234375,Modoc County,-120.28741930250604,41.30698835971881
1910,8,Modoc National Forest,WILLOWRANCH,9 - Miscellaneous,21.08651351928711,Modoc County,-120.32900004599145,41.842434154873885
1910,7,Ventura County,COYOTE CREEK,14 - Unknown / Unidentified,11226.82421875,Ventura County,-119.386960102873,34.421248923874785
1910,8,Six Rivers National Forest,BULL CREEK,4 - Campfire,56.897216796875,Humboldt County,-123.62198806063569,41.1747658353502
1910,8,Six Rivers National Forest,MILL CREEK,4 - Campfire,398.29315185546875,Humboldt County,-123.71014680624636,41.16289968508533
1910,9,Six Rivers National Forest,ULLATHORNE PEAK,14 - Unknown / Unidentified,159.32887268066406,Siskiyou County,-123.43666759661407,41.26895133089562
1910,9,Six Rivers National Forest,BEE LAKE,14 - Unknown / Unidentified,298.71905517578125,Del Norte County,-123.72630392852673,41.28695293171221
1910,9,Six Rivers National Forest,RED CAP,5 - Debris,497.8814392089844,Humboldt County,-123.55758099853259,41.204450556953894
1910,9,Six Rivers National Forest,MILL CREEK,14 - Unknown / Unidentified,597.4611206054688,Humboldt County,-123.51337108479538,41.172101882268265
1910,8,Six Rivers National Forest,HOPKINS CREEK,9 - Miscellaneous,497.8733215332031,Humboldt County,-123.6328301243768,41.21518162017044
1911,7,Six Rivers National Forest,ORCUTT FLAT,7 - Arson,94.59878540039062,Humboldt County,-123.51517133202005,41.31905568905736
1911,7,Six Rivers National Forest,PRIGMORE FLAT,7 - Arson,14.936650276184082,Humboldt County,-123.52059408394787,41.28831043066412
1911,7,Six Rivers National Forest,ULLATHORNE CREEK 2,14 - Unknown / Unidentified,69.70310974121094,Humboldt County,-123.58798210795823,41.295876640247855
1911,7,Six Rivers National Forest,ULLATHORNE 1,14 - Unknown / Unidentified,14.93657398223877,Humboldt County,-123.56946916155023,41.268950984589665
1911,7,Modoc National Forest,NONAME,9 - Miscellaneous,131.7615203857422,Siskiyou County,-121.4763393683233,41.69732126691098
1911,8,Six Rivers National Forest,ULLATHORNE CREEK,7 - Arson,9.957535743713379,Humboldt County,-123.576445474181,41.289008058210456
1911,8,Six Rivers National Forest,RED CAP CREEK,4 - Campfire,9.95789623260498,Humboldt County,-123.50155420229174,41.23065513761638
1911,8,Six Rivers National Forest,PEARCH CREEK,7 - Arson,398.3174133300781,Humboldt County,-123.49532589530777,41.302627337146795
1911,8,Six Rivers National Forest,CHEENITCH GULCH,14 - Unknown / Unidentified,11.949064254760742,Humboldt County,-123.51629468882876,41.29251839491991
1911,7,Six Rivers National Forest,WILDER CREEK,7 - Arson,15.932304382324219,Humboldt County,-123.55259175456193,41.378882035036355
1911,7,Six Rivers National Forest,BOISE CREEK,1 - Lightning,19.91621208190918,Humboldt County,-123.49518377405866,41.27739715054247
